,altname
XCN/EUR,XCNEUR
XCN/USD,XCNUSD
XDG/EUR,XDGEUR
XDG/USD,XDGUSD
XDG/USDT,XDGUSDT
ETC/ETH,ETCETH
ETC/XBT,ETCXBT
ETC/EUR,ETCEUR
ETC/USD,ETCUSD
ETH/XBT,ETHXBT
ETH/CAD,ETHCAD
ETH/EUR,ETHEUR
ETH/GBP,ETHGBP
ETH/JPY,ETHJPY
ETH/USD,ETHUSD
LTC/XBT,LTCXBT
LTC/EUR,LTCEUR
LTC/JPY,LTCJPY
LTC/USD,LTCUSD
MLN/ETH,MLNETH
MLN/XBT,MLNXBT
MLN/EUR,MLNEUR
MLN/USD,MLNUSD
XMR/USDT,XMRUSDT
REP/ETH,REPETH
REP/XBT,REPXBT
REP/EUR,REPEUR
REP/USD,REPUSD
XRP/AUD,XRPAUD
XRP/ETH,XRPETH
XRP/GBP,XRPGBP
XRP/USDT,XRPUSDT
XRT/EUR,XRTEUR
XRT/USD,XRTUSD
XTZ/AUD,XTZAUD
XTZ/ETH,XTZETH
XTZ/EUR,XTZEUR
XTZ/GBP,XTZGBP
XTZ/USD,XTZUSD
XTZ/USDT,XTZUSDT
XTZ/XBT,XTZXBT
XBT/CAD,XBTCAD
XBT/EUR,XBTEUR
XBT/GBP,XBTGBP
XBT/JPY,XBTJPY
XBT/USD,XBTUSD
XDG/XBT,XDGXBT
XLM/XBT,XLMXBT
XLM/AUD,XLMAUD
XLM/EUR,XLMEUR
XLM/GBP,XLMGBP
XLM/USD,XLMUSD
XMR/XBT,XMRXBT
XMR/EUR,XMREUR
XMR/USD,XMRUSD
XRP/XBT,XRPXBT
XRP/CAD,XRPCAD
XRP/EUR,XRPEUR
XRP/JPY,XRPJPY
XRP/USD,XRPUSD
ZEC/XBT,ZECXBT
ZEC/EUR,ZECEUR
ZEC/USD,ZECUSD
YFI/AUD,YFIAUD
YFI/ETH,YFIETH
YFI/EUR,YFIEUR
YFI/GBP,YFIGBP
YFI/USD,YFIUSD
YFI/XBT,YFIXBT
YGG/EUR,YGGEUR
YGG/USD,YGGUSD
EUR/USD,EURUSD
GBP/USD,GBPUSD
ZRX/EUR,ZRXEUR
ZRX/GBP,ZRXGBP
ZRX/USD,ZRXUSD
ZRX/XBT,ZRXXBT
USD/CAD,USDCAD
USD/JPY,USDJPY
